University,City,State,Denomination,Rank,Market,Academic,aCFI,CSI_Score,CSI_Quantile,Endowment,Latitude,Longitude
Cornell College,Mount Vernon,IA,Methodist,500,0.3775371028378942,0.4450122087644216,0.4836156694776593,0.433478018881841,4,103368586.672,41.9253978,-91.42398552745183
Dillard University,New Orleans,LA,Methodist,501,0.3158339557442339,0.4950160936474167,0.5186331122320491,0.4328126875375038,4,98509467.15,29.9962374,-90.0653677710487
Emmaus Bible College,Dubuque,IA,Anabaptist,502,0.2490112743409632,0.6059562667781844,0.5297900735021323,0.4327322537534636,4,1349244.905,42.5087374,-90.7060749086276
Montreat College,Montreat,NC,Interdenominational,503,0.3363830061449228,0.4633027711595903,0.5136370128341501,0.4326913206483836,4,10885516.189,35.6459434,-82.2970364
Corban University,Salem,OR,Baptist,504,0.288804439050833,0.6210183211210436,0.4823215638027324,0.4326595474023782,4,1336877.258,36.099447,-80.22659
Westminster College,New Wilmington,PA,Presbyterian,505,0.335481212175074,0.5032588314874561,0.4942095633985648,0.4325430444352601,4,152265258.407,41.1182434,-80.32868957389215
Mid-South Christian College,Memphis,TN,Protestant,507,0.2343985864855399,0.7493628600191139,0.4707211950185214,0.4319162526998006,4,176931.462,35.064191,-89.911893
Alma College,Alma,MI,Presbyterian,508,0.3915692594270074,0.4281645651719705,0.4739980214759134,0.4318726516173977,4,153669051.801,43.38147395,-84.6713490300015
William Carey University,Hattiesburg,MS,Baptist,510,0.346567440425388,0.5241767266654285,0.4694401409935233,0.4312451915121399,4,42625004.452,31.3037101,-89.29276386549502
Rockhurst University,Kansas City,MO,Roman Catholic,511,0.3318712278355702,0.5911552558629722,0.4500403219023646,0.4309933764837789,4,51518211.448,39.03081885,-94.57067504464628
Southwest Baptist University,Bolivar,MO,Baptist,512,0.2709588842936242,0.6471883604520069,0.4827010659174212,0.4309063776635285,4,46980244.95,37.60076005000001,-93.40873074472032
Rabbinical College Telshe,Wickliffe,OH,Jewish,513,0.2422592529131379,0.7486406158017898,0.4601681854809398,0.4306920421682138,4,266364.759,41.605007,-81.475558
Moody Bible Institute,Chicago,IL,Interdenominational,514,0.2801207017822507,0.4550142088524708,0.5689876064866785,0.4306864491082997,4,366313699.463,41.9002764,-87.6354882298403
Muhlenberg College,Allentown,PA,Lutheran,515,0.3501659110230988,0.5003107411014209,0.476351307565486,0.4306792582520187,4,371421954.066,40.59758265,-75.5104839064264
La Sierra University,Riverside,CA,Seventh Day Adventist,516,0.3519481253141152,0.4361135806295138,0.5066157314851253,0.4306707758213016,4,136574346.38,33.9101505,-117.4957464559369
Trinity Bible College and Graduate School,Ellendale,ND,Pentecostal,517,0.241922463288743,0.6695051111996341,0.498806948245315,0.4302014054857503,4,1869314.407,46.002563,-98.527345
Drury University,Springfield,MO,Protestant,518,0.366529381504758,0.4987528115641983,0.4589347947393171,0.4299414915501106,4,18287006.42,37.2182356,-93.2846472053064
Assumption University,Worcester,MA,Roman Catholic,520,0.3784602936500649,0.455556736395293,0.4657009363619898,0.4287855777681484,4,112371750.594,42.2953528,-71.82964377400714
William Penn University,Oskaloosa,IA,Friends,523,0.3731352522081764,0.4997739159257509,0.4478230504869569,0.4283403779564874,4,11637740.67,41.3117756,-92.64894045918444
Kettering University,Flint,MI,Seventh Day Adventist,524,0.250204918944107,0.6943181266296468,0.4728429641777971,0.4280828948629691,4,126839696.707,43.01404220000001,-83.7140043528519
Earlham College,Richmond,IN,Friends,525,0.3417607095476771,0.4757622238344106,0.489806970088695,0.4277957257221105,4,361551406.044,39.8204275,-84.91323124235393
Greensboro College,Greensboro,NC,Methodist,527,0.4068836473804707,0.3470463852324602,0.4866679809792573,0.4268518689833178,4,30513410.131,36.0713888,-79.8008558023214
University of Pikeville,Pikeville,KY,Presbyterian,529,0.3872534468439316,0.427892612639478,0.4647580644524745,0.4263945640534001,3,37393146.705,37.47482524999999,-82.52100157239967
Seton Hill University,Greensburg,PA,Roman Catholic,531,0.3351020377393376,0.5328045047585516,0.4629753190877722,0.425797648092122,3,66805051.782,40.310888,-79.55688656928012
D'Youville  University,Buffalo,NY,Roman Catholic,532,0.3266697259488939,0.5361111763827445,0.4696336979354432,0.4257512534796376,3,50383952.929,42.90283580000001,-78.8910200854379
Paul Quinn College,Dallas,TX,Methodist,533,0.2971798965227643,0.5984134280203715,0.4673304474256958,0.4254907299404892,3,-10016354.852,32.6788166,-96.75367781374204
West Virginia Wesleyan College,Buckhannon,WV,Methodist,534,0.2878352552051722,0.4921672283642386,0.528743787728021,0.4250928113553136,3,91172006.06,38.99047564999999,-80.21826091194856
Doane University,Crete,NE,United Church of Christ,535,0.3254557956269328,0.4561083066840345,0.5089698908262834,0.4250155734860275,3,126156480.593,40.62131545,-96.94717593126433
Arcadia University,Glenside,PA,Presbyterian,536,0.3815397242222748,0.4747278018940417,0.443402763526585,0.4249256092784459,3,95279582.273,40.0917501,-75.16511509669805
Culver-Stockton College,Canton,MO,Protestant,537,0.3245602142983412,0.5274812011784158,0.4737609039266334,0.4248342355649107,3,45086419.294,40.1288229,-91.5316408
Thomas More College of Liberal Arts,Merrimack,NH,Roman Catholic,538,0.240449653396851,0.7271269897158221,0.4575205584884385,0.4246082291446667,3,5838259.96,42.8067883,-71.48317304223559
Wheeling University,Wheeling,WV,Roman Catholic,539,0.2625258475322529,0.7438451846212699,0.4267568617978878,0.4244668349254545,3,20848422.495,40.0714296,-80.69075691654183
Oakwood University,Huntsville,AL,Seventh Day Adventist,540,0.4244590240334344,0.3769940000221992,0.4479321936967771,0.4243647282328583,3,0.0,34.758802,-86.65459911789776
St. Thomas Aquinas College,Sparkill,NY,Roman Catholic,541,0.3202175085215925,0.5314879207100945,0.4742995479771721,0.4241140961081969,3,22562522.916,41.029965,-73.928265
Saint Mary's University of Minnesota,Winona,MN,Roman Catholic,542,0.3614846089763342,0.4315512458632744,0.4829108657906748,0.4240857176671327,3,79866307.872,44.04534085,-91.69518768969844
Roberts Wesleyan University,Rochester,NY,Methodist,544,0.3034891445630325,0.5747396478380296,0.46893383426472,0.4239230849863197,3,40616776.973,43.12430275,-77.79839481733976
Thomas Aquinas College,Santa Paula,CA,Roman Catholic,546,0.3113982020737242,0.5369478485711991,0.4778359091710939,0.4230939467889367,3,39349475.198,34.42726,-119.087525
Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,Methodist,547,0.2569183837925312,0.6490235134586236,0.4758659354147047,0.4229230093719769,3,3682362.415,41.2657787,-96.04838707482637
Albion College,Albion,MI,Methodist,548,0.4162946600255225,0.363565696421296,0.458243040176527,0.4225418819374696,3,162837906.127,42.2437255,-84.74290095493066
New Saint Andrews College,Moscow,ID,Protestant,549,0.3128072354291865,0.5981498653506119,0.4442764706320082,0.4224612150786486,3,163454.726,46.733689,-117.000002
Mars Hill University,Mars Hill,NC,Baptist,550,0.4042156487146609,0.3660375257947934,0.4685916104491314,0.4223471018291144,3,71943555.512,35.827147,-82.5529516616329
Wagner College,Staten Island,NY,Lutheran,552,0.3773216435841245,0.4442620894752464,0.4560608628292285,0.4222144742596504,3,124330040.389,40.6147187,-74.09355867259515
Carson-Newman University,Jefferson City,TN,Baptist,553,0.3418458629831282,0.4322532957323545,0.4971186716596107,0.4220584868220268,3,70816811.484,36.12206325,-83.4893262980502
Bard College,Annandale-On-Hudson,NY,Episcopal,555,0.3854066230880899,0.5224542576107141,0.4083957624252451,0.422002698791892,3,527392686.804,42.0225482,-73.91072422119606
Presbyterian College,Clinton,SC,Presbyterian,557,0.3599980029415735,0.4005927943168233,0.4932849704126185,0.4214543461193981,3,105149586.493,34.46275055,-81.86717708775335
Prescott College,Prescott,AZ,Seventh Day Adventist,558,0.230919483934725,0.4465727557702183,0.598937582869745,0.4213094161684351,3,2509791.985,34.5448939,-112.4774982081208
